소스명,링크,신뢰성 및 구분
Energy Storage News,https://www.energy-storage.news,신뢰성 높음 (글로벌 에너지 전문 매체)
Canary Media,https://www.canarymedia.com,신뢰성 높음 (글로벌 클린에너지 전문 매체)
PV Magazine,https://www.pv-magazine.com,신뢰성 높음 (글로벌 태양광/에너지 전문 매체)
CleanTechnica,https://cleantechnica.com,신뢰성 높음 (글로벌 클린에너지 전문 매체)
Electrek,https://electrek.co,신뢰성 높음 (글로벌 EV 및 재생에너지 전문 매체)
IEA,https://www.iea.org,매우 높음 (국제에너지기구 공식 홈페이지)
IRENA,https://www.irena.org,매우 높음 (국제재생에너지기구 공식 홈페이지)
BloombergNEF,https://about.bnef.com,매우 높음 (글로벌 에너지 리서치 전문 기관)
WindPower Monthly,https://www.windpowermonthly.com,신뢰성 높음 (글로벌 풍력에너지 전문 매체)
에너지경제신문,https://www.ekn.kr,신뢰성 높음 (국내 에너지/경제 전문 언론사)
전기신문,https://www.electimes.com,신뢰성 높음 (국내 전기/에너지 전문 언론사)
전자신문 (Energy),https://www.etnews.com,신뢰성 높음 (국내 종합/IT 언론사)
이투뉴스 (E2News),https://www.e2news.com,신뢰성 높음 (국내 에너지 전문 언론사)
에너지데일리,https://www.energydaily.co.kr,신뢰성 높음 (국내 에너지산업 전문 언론사)
투데이에너지,https://www.todayenergy.kr,신뢰성 높음 (국내 에너지 전문 언론사)
에너지타임즈,https://www.energytimes.kr,신뢰성 높음 (국내 에너지 전문 언론사)
그린포스트코리아,https://www.greenpostkorea.co.kr,신뢰성 높음 (국내 환경/녹색 에너지 전문 언론사)
한국에너지공단 (KEA),https://www.energy.or.kr,매우 높음 (국내 공식 공공기관)
녹색에너지연구원 (IGT),https://igt.or.kr,매우 높음 (국내 공식 연구기관)
