name,url,origin,description
IRENA,https://www.irena.org,global,International Renewable Energy Agency - Official reports and data
BloombergNEF,https://about.bnef.com,global,Strategic research for commodity and energy markets
Reuters Energy,https://www.reuters.com/business/energy,global,Global energy sector news and analysis
Energy Storage News,https://www.energy-storage.news,global,Specialized news on battery and energy storage systems
Renewables Now,https://renewablesnow.com,global,Business news for the renewable energy sector
PV Magazine,https://www.pv-magazine.com,global,Photovoltaic markets and technology news
IEA,https://www.iea.org,global,International Energy Agency - Global energy policy and data
Canary Media,https://www.canarymedia.com,global,Clean energy transition and decarbonization news
산업통상자원부 (MOTIE),https://www.motie.go.kr,domestic,Republic of Korea Ministry of Trade; Industry and Energy
에너지경제신문,https://www.ekn.kr,domestic,Comprehensive energy industry and economy news in Korea
전기신문,https://www.electimes.com,domestic,Power industry specialized news since 1964
전자신문 (Energy),https://www.etnews.com,domestic,IT and Energy tech convergence news
한국에너지공단 (KEA),https://www.energy.or.kr,domestic,Korea Energy Agency - Energy policy and project news
이투뉴스 (E2News),https://www.e2news.com,domestic,Specialized news for energy and environment
뉴스1 (Energy),https://www.news1.kr,domestic,General news with strong energy sector coverage
Slowly Beautiful,https://www.slowlybeautiful.com/,global,Sustainability and energy transition insights
녹색에너지연구원 (IGT),https://igt.or.kr/bbs/board.php?bo_table=m03_03,domestic,Green energy research reports and community board
투데이에너지,https://www.todayenergy.kr/,domestic,Domestic energy industry news and policy updates
에너지타임즈,https://www.energytimes.kr/,domestic,Specialized energy and power sector news repository
